|positive|,2019-02-09 ,b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD ANYBODY WANT TO STAND ON THE SIDELINES AND LET A #UNICORN RUN AWAY?  \xf0\x9f\xa6\x84\xf0\x9f\xa6\x84DO NOT BLINK \xf0\x9f\xa6\x84 $FUSZD IS THE MOST UNIQUE\xe2\x80\xa6',1.0

|negative|,2019-02-09 ,"b' RT @DrivingTheDay: Tech Review: 1) Why Apple Is Losing In India, 2) Amazon $AMZN Alarm? 3)Investing https://t.co/xyuOgxiUJW $FB $MSFT $GOOG\xe2\x80\xa6'",-5.0

|negative|,2019-02-09 ,"b' RT @DrivingTheDay: Tech Review: 1) Why Apple Is Losing In India, 2) Amazon $AMZN Alarm? 3)Investing https://t.co/xyuOgxiUJW $FB $MSFT $GOOG\xe2\x80\xa6'",-5.0

|negative|,2019-02-09 ,"b' RT @DrivingTheDay: Tech Review: 1) Why Apple Is Losing In India, 2) Amazon $AMZN Alarm? 3)Investing https://t.co/xyuOgxiUJW $FB $MSFT $GOOG\xe2\x80\xa6'",-5.0

|negative|,2019-02-09 ,"b' RT @DrivingTheDay: Tech Review: 1) Why Apple Is Losing In India, 2) Amazon $AMZN Alarm? 3)Investing https://t.co/xyuOgxiUJW $FB $MSFT $GOOG\xe2\x80\xa6'",-5.0

|negative|,2019-02-09 ,"b' RT @DrivingTheDay: Tech Review: 1) Why Apple Is Losing In India, 2) Amazon $AMZN Alarm? 3)Investing https://t.co/xyuOgxiUJW $FB $MSFT $GOOG\xe2\x80\xa6'",-5.0

|positive|,2019-02-09 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD THIS IS AMAZING, LIKE WATCHING $AMZN $MSFT $AAPL OR ANY OF THE OTHER GREAT TECH COMPANIES IN THEIR INFANCY....\xe2\x80\xa6'",9.0

|negative|,2019-02-09 ,b' Martin Investment Management Cut Its General Dynamics $GD Stake as Stock Value Declined; Microsoft $MSFT Market Val\xe2\x80\xa6 https://t.co/eIPaZHi4eS',-1.0

|positive|,2019-02-09 ,"b' Everence Capital Management Trimmed Microsoft Ord $MSFT Position by $559,740; As Citigroup $C Share Value Declined,\xe2\x80\xa6 https://t.co/ahSi6iPBkG'",1.0

|neutral|,2019-02-09 ,"b' Microsoft $MSFT Shareholder Stellar Capital Management Trimmed Position by $458,394; As International Business Mach\xe2\x80\xa6 https://t.co/4X5XVrcu52'",0.0

|neutral|,2019-02-09 ,b' Microsoft $MSFT Given a $125.00 Price Target at Credit Suisse Group https://t.co/HzZX8cY11o',0.0

|neutral|,2019-02-09 ,b' Bye $nflx hello $msft and $baba',0.0

|negative|,2019-02-09 ,"b' Johnson &amp; Johnson Com $JNJ Shareholder Harvest Capital Management Has Cut Holding by $442,290; Microsoft $MSFT Stoc\xe2\x80\xa6 https://t.co/kNLtTIxLtk'",-1.0

|neutral|,2019-02-09 ,"b' As Capitala Fin $CPTA Stock Price Declined, Kemper Has Lifted Its Stake; Plancorp Decreased Its Microsoft $MSFT Pos\xe2\x80\xa6 https://t.co/zlv3gHWTnW'",0.0

|positive|,2019-02-09 ,b' Johnson &amp; Johnson $JNJ Stake Has Increased by Lockheed Martin Investment Management Company; Staley Capital Adviser\xe2\x80\xa6 https://t.co/5LOPpiQC0b',1.0

|neutral|,2019-02-09 ,b' RT @fcassia: What if $MSFT decides to mine cryptocurrencies while showing this never ending spinner on all #Windows10 PCs in the World at o\xe2\x80\xa6',0.0

|neutral|,2019-02-09 ,"b"" RT @MotleyFoolMoney: The Bezos letter, IPOs we're looking forward to, a sneak preview of next week's live Q&amp;A and that's just the start! @a\xe2\x80\xa6""",0.0

|negative|,2019-02-10 ,"b' RT @IncredibleTrade: Third Point Dissolves Stakes in Netflix $NFLX, Microsoft $MSFT; Cuts Stake in PayPal $PYPL, Merck $MRK, Visa $V, Ameri\xe2\x80\xa6'",-1.0

|neutral|,2019-02-10 ,"b' GitHub, Skype, &amp; LinkedIn: some very wise acquisitions made by Microsoft. Undoubtedly, it wears the crown for M&amp;A.\xe2\x80\xa6 https://t.co/ch9htLyJ1T'",0.0

|positive|,2019-02-10 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD MAKE SURE YOU ARE IN THE ""KNOW"" \xf0\x9f\x91\x89CLICK THE PIC BELOW FOR THE ROAD TO NASDAQ  #OPPORTUNITY #millionairemindset\xe2\x80\xa6'",2.0

|negative|,2019-02-10 ,b' Yeah! RELEASE The pictures You Dirty Bezos! .$aapl $amzn $agn $brk $bhc $crm $cmg $dis $esrx $f $ge $gm $hlf $iep\xe2\x80\xa6 https://t.co/0CB7ZFiIYm',-1.0

|neutral|,2019-02-10 ,b' @realDonaldTrump @CNN wishful thinking #USA #BogusPOTUS $QQQ $AAPL $AMZN $MSFT $GOOG $NFLX $TSLA $FB',0.0

|negative|,2019-02-10 ,"b' RT @IncredibleTrade: Third Point Dissolves Stakes in Netflix $NFLX, Microsoft $MSFT; Cuts Stake in PayPal $PYPL, Merck $MRK, Visa $V, Ameri\xe2\x80\xa6'",-1.0

|negative|,2019-02-10 ,"b' Third Point Dissolves Stakes in Netflix $NFLX, Microsoft $MSFT; Cuts Stake in PayPal $PYPL, Merck $MRK, Visa $V, Am\xe2\x80\xa6 https://t.co/mWyC4p77sn'",-1.0

|neutral|,2019-02-10 ,b' Microsoft Corporation (MSFT34) Is Yet to See Trading Action on Feb 7 https://t.co/WsJ4MdC6uv $MSFT #stocks #stockmarket',0.0

|positive|,2019-02-10 ,b' \xf0\x9f\x91\x80 on $MSFT starting tommorow after using a brand new surface and wow. \xf0\x9f\x98\x82',4.0

|positive|,2019-02-10 ,b' RT @LionessWall: \xf0\x9f\x91\xa0\xf0\x9f\x92\x84\xf0\x9f\x92\x8bSexy plays for this week!!   \xf0\x9f\x92\xb5 $hiph \xf0\x9f\x92\xb5 $dkgr \xf0\x9f\x92\xb5 $etii \xf0\x9f\x92\xb5 $csoc \xf0\x9f\x92\xb5 $msft   #OTC #STOCKSTOWATCH #ALERT https://t.co/5kll7lvw\xe2\x80\xa6',2.0

|negative|,2019-02-10 ,b' Mitigation Trial To Combat New MS Exchange Server Vuln https://t.co/TSFY1tNDhT #security #exploit #vuln $MSFT #Exchange',-3.0

|positive|,2019-02-10 ,b' Microsoft: Improved security features are delaying hackers from attacking Windows users https://t.co/6joJ4Hbom8\xe2\x80\xa6 https://t.co/rv1LpXgyqe',1.0

|positive|,2019-02-10 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD MAKE SURE YOU ARE IN THE ""KNOW"" \xf0\x9f\x91\x89CLICK THE PIC BELOW FOR THE ROAD TO NASDAQ  #OPPORTUNITY #millionairemindset\xe2\x80\xa6'",2.0

|positive|,2019-02-10 ,b' RT @UHDTrader: $FUSZD - #TaggyourAnimoji sounds like Something #Apple @iPhone_News Needs! @VerbTech_Co is Dominating the #InteractiveVideo\xe2\x80\xa6',2.0

